Inference - SOTS_indoor
save_image: True
data_path: ../dataset/SOTS/indoor/hazy
gt_path: ../dataset/SOTS/indoor/clear
model_path: ../pretrained_models/SOTS_indoor.pt
result_path: ../infer_results/infer_SOTS_indoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_indoor.pt
> 1400_1 PSNR=38.138, SSIM=0.9939 pre_time:0.035s, forward_time:1.016s, post_time:0.478s, total_time:1.530s
> 1400_10 PSNR=37.133, SSIM=0.9875 pre_time:0.024s, forward_time:0.201s, post_time:0.510s, total_time:0.735s
> 1400_2 PSNR=37.041, SSIM=0.9867 pre_time:0.022s, forward_time:0.201s, post_time:0.524s, total_time:0.747s
> 1400_3 PSNR=38.038, SSIM=0.9933 pre_time:0.022s, forward_time:0.199s, post_time:0.492s, total_time:0.714s
> 1400_4 PSNR=38.183, SSIM=0.9927 pre_time:0.023s, forward_time:0.199s, post_time:0.497s, total_time:0.719s
> 1400_5 PSNR=38.341, SSIM=0.9921 pre_time:0.024s, forward_time:0.198s, post_time:0.477s, total_time:0.699s
> 1400_6 PSNR=38.254, SSIM=0.9918 pre_time:0.025s, forward_time:0.196s, post_time:0.478s, total_time:0.699s
> 1400_7 PSNR=37.968, SSIM=0.9906 pre_time:0.022s, forward_time:0.197s, post_time:0.472s, total_time:0.692s
> 1400_8 PSNR=38.177, SSIM=0.9899 pre_time:0.030s, forward_time:0.197s, post_time:0.551s, total_time:0.778s
> 1400_9 PSNR=37.560, SSIM=0.9886 pre_time:0.025s, forward_time:0.197s, post_time:0.492s, total_time:0.714s
> 1401_1 PSNR=40.359, SSIM=0.9947 pre_time:0.023s, forward_time:0.202s, post_time:0.532s, total_time:0.757s
> 1401_10 PSNR=38.975, SSIM=0.9906 pre_time:0.022s, forward_time:0.197s, post_time:0.562s, total_time:0.782s
> 1401_2 PSNR=38.084, SSIM=0.9896 pre_time:0.023s, forward_time:0.196s, post_time:0.525s, total_time:0.744s
> 1401_3 PSNR=40.145, SSIM=0.9943 pre_time:0.023s, forward_time:0.198s, post_time:0.519s, total_time:0.739s
> 1401_4 PSNR=40.348, SSIM=0.9936 pre_time:0.024s, forward_time:0.196s, post_time:0.524s, total_time:0.745s
> 1401_5 PSNR=40.029, SSIM=0.9932 pre_time:0.022s, forward_time:0.198s, post_time:0.519s, total_time:0.740s
> 1401_6 PSNR=40.110, SSIM=0.9928 pre_time:0.025s, forward_time:0.197s, post_time:0.547s, total_time:0.769s
> 1401_7 PSNR=40.336, SSIM=0.9921 pre_time:0.022s, forward_time:0.198s, post_time:0.527s, total_time:0.747s
> 1401_8 PSNR=39.760, SSIM=0.9917 pre_time:0.024s, forward_time:0.197s, post_time:0.576s, total_time:0.796s
> 1401_9 PSNR=39.894, SSIM=0.9909 pre_time:0.021s, forward_time:0.199s, post_time:0.541s, total_time:0.762s
> 1402_1 PSNR=40.656, SSIM=0.9943 pre_time:0.020s, forward_time:0.199s, post_time:0.512s, total_time:0.732s
