Inference - SOTS_outdoor
save_image: True
data_path: ../dataset/SOTS/outdoor/hazy
gt_path: ../dataset/SOTS/outdoor/clear
model_path: ../pretrained_models/SOTS_outdoor.pt
result_path: ../infer_results/infer_SOTS_outdoor
size_must_mode: 4
device: cuda
Loading model from ../pretrained_models/SOTS_outdoor.pt
> 0001_1 PSNR=28.340, SSIM=0.9800 pre_time:0.039s, forward_time:0.827s, post_time:0.716s, total_time:1.581s
> 0002_1 PSNR=21.666, SSIM=0.9350 pre_time:0.015s, forward_time:0.331s, post_time:0.517s, total_time:0.863s
> 0003_1 PSNR=28.607, SSIM=0.9814 pre_time:0.010s, forward_time:0.703s, post_time:0.618s, total_time:1.331s
> 0004_1 PSNR=33.292, SSIM=0.9877 pre_time:0.021s, forward_time:0.172s, post_time:0.510s, total_time:0.703s
> 0006_1 PSNR=32.175, SSIM=0.9881 pre_time:0.022s, forward_time:0.158s, post_time:0.474s, total_time:0.654s
> 0007_1 PSNR=27.451, SSIM=0.9761 pre_time:0.016s, forward_time:0.652s, post_time:0.593s, total_time:1.261s
> 0009_1 PSNR=29.541, SSIM=0.9679 pre_time:0.017s, forward_time:0.154s, post_time:0.374s, total_time:0.545s
> 0010_1 PSNR=28.264, SSIM=0.9649 pre_time:0.017s, forward_time:0.243s, post_time:0.443s, total_time:0.702s
> 0011_1 PSNR=31.829, SSIM=0.9649 pre_time:0.013s, forward_time:0.155s, post_time:0.488s, total_time:0.656s
> 0014_1 PSNR=26.079, SSIM=0.9762 pre_time:0.019s, forward_time:0.154s, post_time:0.536s, total_time:0.709s
> 0016_1 PSNR=25.225, SSIM=0.9764 pre_time:0.016s, forward_time:0.243s, post_time:0.479s, total_time:0.738s
> 0017_1 PSNR=37.905, SSIM=0.9911 pre_time:0.018s, forward_time:0.961s, post_time:1.168s, total_time:2.146s
> 0018_1 PSNR=32.085, SSIM=0.9833 pre_time:0.031s, forward_time:1.096s, post_time:1.808s, total_time:2.935s
> 0019_1 PSNR=29.272, SSIM=0.9844 pre_time:0.014s, forward_time:0.165s, post_time:0.489s, total_time:0.668s
> 0021_1 PSNR=23.359, SSIM=0.9651 pre_time:0.015s, forward_time:0.341s, post_time:0.513s, total_time:0.869s
> 0022_1 PSNR=19.142, SSIM=0.9364 pre_time:0.016s, forward_time:0.230s, post_time:0.553s, total_time:0.800s
> 0023_1 PSNR=26.020, SSIM=0.9542 pre_time:0.035s, forward_time:0.154s, post_time:0.542s, total_time:0.731s
> 0024_1 PSNR=32.330, SSIM=0.9725 pre_time:0.016s, forward_time:0.166s, post_time:0.722s, total_time:0.904s
> 0025_1 PSNR=28.495, SSIM=0.9786 pre_time:0.014s, forward_time:0.155s, post_time:0.467s, total_time:0.637s
> 0026_1 PSNR=36.726, SSIM=0.9848 pre_time:0.021s, forward_time:0.155s, post_time:0.510s, total_time:0.686s
> 0029_1 PSNR=31.834, SSIM=0.9830 pre_time:0.014s, forward_time:0.213s, post_time:0.533s, total_time:0.760s
> 0030_1 PSNR=35.244, SSIM=0.9888 pre_time:0.013s, forward_time:0.309s, post_time:0.557s, total_time:0.879s
> 0033_1 PSNR=30.818, SSIM=0.9847 pre_time:0.015s, forward_time:0.170s, post_time:0.646s, total_time:0.832s
> 0034_1 PSNR=29.496, SSIM=0.9748 pre_time:0.017s, forward_time:0.153s, post_time:0.620s, total_time:0.790s
> 0036_1 PSNR=24.137, SSIM=0.9622 pre_time:0.014s, forward_time:0.157s, post_time:0.473s, total_time:0.643s
> 0039_1 PSNR=35.330, SSIM=0.9857 pre_time:0.016s, forward_time:0.155s, post_time:0.411s, total_time:0.582s
> 0040_1 PSNR=35.854, SSIM=0.9900 pre_time:0.015s, forward_time:0.324s, post_time:0.443s, total_time:0.782s
> 0042_1 PSNR=30.247, SSIM=0.9784 pre_time:0.027s, forward_time:1.564s, post_time:1.808s, total_time:3.399s
> 0045_1 PSNR=30.010, SSIM=0.9850 pre_time:0.023s, forward_time:0.292s, post_time:1.505s, total_time:1.820s
> 0046_1 PSNR=29.958, SSIM=0.9670 pre_time:0.013s, forward_time:0.156s, post_time:0.499s, total_time:0.668s
> 0047_1 PSNR=32.172, SSIM=0.9874 pre_time:0.011s, forward_time:0.132s, post_time:0.405s, total_time:0.548s
> 0048_1 PSNR=31.840, SSIM=0.9800 pre_time:0.015s, forward_time:0.333s, post_time:0.586s, total_time:0.934s
> 0049_1 PSNR=25.139, SSIM=0.9801 pre_time:0.020s, forward_time:1.255s, post_time:0.692s, total_time:1.967s
> 0051_1 PSNR=27.314, SSIM=0.9822 pre_time:0.014s, forward_time:0.825s, post_time:0.430s, total_time:1.268s
> 0051_2 PSNR=37.447, SSIM=0.9900 pre_time:0.018s, forward_time:0.159s, post_time:0.409s, total_time:0.585s
> 0052_1 PSNR=29.019, SSIM=0.9739 pre_time:0.018s, forward_time:1.104s, post_time:0.720s, total_time:1.842s
> 0053_1 PSNR=29.665, SSIM=0.9770 pre_time:0.019s, forward_time:0.226s, post_time:0.520s, total_time:0.765s
> 0054_1 PSNR=34.352, SSIM=0.9811 pre_time:0.028s, forward_time:0.324s, post_time:0.437s, total_time:0.788s
> 0055_1 PSNR=35.703, SSIM=0.9865 pre_time:0.015s, forward_time:0.155s, post_time:0.458s, total_time:0.628s
> 0056_1 PSNR=30.935, SSIM=0.9811 pre_time:0.023s, forward_time:1.196s, post_time:1.080s, total_time:2.300s
> 0057_1 PSNR=28.398, SSIM=0.9872 pre_time:0.016s, forward_time:0.266s, post_time:0.434s, total_time:0.717s
> 0058_1 PSNR=31.416, SSIM=0.9834 pre_time:0.022s, forward_time:1.274s, post_time:0.819s, total_time:2.115s
> 0059_1 PSNR=30.821, SSIM=0.9858 pre_time:0.015s, forward_time:0.154s, post_time:0.699s, total_time:0.869s
> 0060_1 PSNR=28.885, SSIM=0.9743 pre_time:0.028s, forward_time:1.659s, post_time:1.557s, total_time:3.244s
> 0061_1 PSNR=28.007, SSIM=0.9685 pre_time:0.010s, forward_time:0.259s, post_time:0.542s, total_time:0.811s
> 0062_1 PSNR=28.416, SSIM=0.9726 pre_time:0.017s, forward_time:0.192s, post_time:0.602s, total_time:0.811s
> 0063_1 PSNR=28.679, SSIM=0.9761 pre_time:0.017s, forward_time:0.154s, post_time:0.457s, total_time:0.628s
> 0064_1 PSNR=26.071, SSIM=0.9700 pre_time:0.023s, forward_time:0.167s, post_time:0.442s, total_time:0.632s
> 0065_1 PSNR=35.909, SSIM=0.9925 pre_time:0.016s, forward_time:0.163s, post_time:0.408s, total_time:0.587s
> 0066_1 PSNR=33.261, SSIM=0.9909 pre_time:0.012s, forward_time:0.154s, post_time:0.665s, total_time:0.832s
> 0068_1 PSNR=30.120, SSIM=0.9733 pre_time:0.026s, forward_time:1.480s, post_time:0.745s, total_time:2.251s
> 0069_1 PSNR=24.805, SSIM=0.9571 pre_time:0.014s, forward_time:0.121s, post_time:0.334s, total_time:0.469s
> 0070_1 PSNR=35.497, SSIM=0.9877 pre_time:0.023s, forward_time:1.056s, post_time:0.733s, total_time:1.813s
> 0071_1 PSNR=27.446, SSIM=0.9784 pre_time:0.013s, forward_time:0.243s, post_time:0.459s, total_time:0.715s
> 0072_1 PSNR=29.895, SSIM=0.9773 pre_time:0.011s, forward_time:0.121s, post_time:0.397s, total_time:0.528s
> 0073_1 PSNR=31.231, SSIM=0.9806 pre_time:0.015s, forward_time:0.156s, post_time:0.434s, total_time:0.606s
